,convMiss
0,"[{'simpCustInvtIntent', 'progDistColdView', 'simpDistColdIntent', 'progCustColdIntent', 'simpCustInvtComplete', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtIntent', 'simpMembInvtIntent', 'simpDistInvtIntent', 'progMembColdIntent', 'progMembInvtComplete', 'simpMembColdComplete', 'progMembColdView', 'simpDistInvtLanding', 'simpDistInvtComplete', 'simpCustColdView', 'simpMembInvtComplete', 'progCustInvtComplete', 'progCustColdView', 'legacyDistColdIntent', 'simpMembColdView', 'simpMembInvtAccept', 'simpMembInvtView', 'simpCustColdIntent', 'simpDistInvtView', 'simpDistColdView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progDistColdIntent', 'progMembInvtView', 'simpCustColdComplete', 'progDistColdComplete', 'poCustColdIntent', 'simpCustInvtLanding', 'progMembColdComplete', 'simpDistColdComplete', 'simpMembInvtLanding', 'simpCustInvtAccept', 'progCustInvtView'}]"
1,"[{'simpCustInvtIntent', 'progDistColdView', 'simpDistColdIntent', 'progCustColdIntent', 'simpCustInvtComplete', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtIntent', 'simpMembInvtIntent', 'simpDistInvtIntent', 'progMembColdIntent', 'progMembInvtComplete', 'simpMembColdComplete', 'progMembColdView', 'simpDistInvtLanding', 'simpDistInvtComplete', 'simpCustColdView', 'simpMembInvtComplete', 'progCustInvtComplete', 'progCustColdView', 'legacyMembColdIntent', 'simpMembColdView', 'simpMembInvtAccept', 'simpMembInvtView', 'simpCustColdIntent', 'simpDistInvtView', 'simpDistColdView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progDistColdIntent', 'progMembInvtView', 'legacyMembColdComplete', 'simpCustColdComplete', 'progDistColdComplete', 'poCustColdIntent', 'simpCustInvtLanding', 'progMembColdComplete', 'simpDistColdComplete', 'simpMembInvtLanding', 'simpCustInvtAccept', 'progCustInvtView'}]"
2,"[{'simpCustInvtIntent', 'progDistColdView', 'simpDistColdIntent', 'progCustColdIntent', 'simpCustInvtComplete', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtIntent', 'simpMembInvtIntent', 'simpDistInvtIntent', 'progMembColdIntent', 'progMembInvtComplete', 'simpMembColdComplete', 'progMembColdView', 'simpDistInvtLanding', 'simpDistInvtComplete', 'simpCustColdView', 'simpMembInvtComplete', 'progCustInvtComplete', 'progCustColdView', 'simpMembColdView', 'simpMembInvtAccept', 'simpMembInvtView', 'simpCustColdIntent', 'simpDistInvtView', 'simpDistColdView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progDistColdIntent', 'progMembInvtView', 'simpCustColdComplete', 'progDistColdComplete', 'simpCustInvtLanding', 'progMembColdComplete', 'simpDistColdComplete', 'simpMembInvtLanding', 'simpCustInvtAccept', 'progCustInvtView'}]"
3,"[{'simpCustInvtIntent', 'progDistColdView', 'progCustColdIntent', 'simpCustInvtComplete', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtIntent', 'simpMembInvtIntent', 'simpDistInvtIntent', 'progMembColdIntent', 'progMembInvtComplete', 'simpMembColdComplete', 'progMembColdView', 'simpDistInvtLanding', 'simpDistInvtComplete', 'simpCustColdView', 'simpMembInvtComplete', 'progCustInvtComplete', 'progCustColdView', 'legacyMembColdIntent', 'simpMembColdView', 'simpMembInvtAccept', 'simpMembInvtView', 'simpCustColdIntent', 'simpDistInvtView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progDistColdIntent', 'progMembInvtView', 'legacyMembColdComplete', 'simpCustColdComplete', 'progDistColdComplete', 'poCustColdIntent', 'simpCustInvtLanding', 'progMembColdComplete', 'simpDistColdComplete', 'simpMembInvtLanding', 'simpCustInvtAccept', 'progCustInvtView'}]"
4,"[{'simpCustInvtIntent', 'progDistColdView', 'progCustColdIntent', 'simpCustInvtComplete', 'poCustColdView', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtIntent', 'simpMembInvtIntent', 'progMembColdIntent', 'progMembInvtComplete', 'simpMembColdComplete', 'progMembColdView', 'simpCustColdView', 'simpMembInvtComplete', 'legacyMembInvtIntent', 'progCustInvtComplete', 'progCustColdView', 'legacyMembColdIntent', 'simpMembColdView', 'legacyCustColdView', 'legacyMembInvtComplete', 'legacyCustColdComplete', 'simpMembInvtAccept', 'simpMembInvtView', 'simpCustColdIntent', 'simpMembColdIntent', 'legacyCustInvtView', 'legacyCustInvtComplete', 'progDistColdIntent', 'progMembInvtView', 'legacyMembColdComplete', 'legacyMembColdView', 'simpCustColdComplete', 'progDistColdComplete', 'poCustColdIntent', 'poCustColdComplete', 'simpCustInvtLanding', 'progMembColdComplete', 'legacyMembInvtView', 'simpMembInvtLanding', 'simpCustInvtAccept', 'progCustInvtView'}]"
5,"[{'simpCustInvtIntent', 'progDistColdView', 'progCustColdIntent', 'simpCustInvtComplete', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtIntent', 'simpMembInvtIntent', 'simpDistInvtIntent', 'progMembColdIntent', 'progMembInvtComplete', 'simpMembColdComplete', 'progMembColdView', 'simpDistInvtLanding', 'simpDistInvtComplete', 'simpCustColdView', 'simpMembInvtComplete', 'progCustInvtComplete', 'progCustColdView', 'simpMembColdView', 'simpMembInvtAccept', 'simpMembInvtView', 'simpCustColdIntent', 'simpDistInvtView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progDistColdIntent', 'progMembInvtView', 'simpCustColdComplete', 'progDistColdComplete', 'simpCustInvtLanding', 'progMembColdComplete', 'simpDistColdComplete', 'simpMembInvtLanding', 'simpCustInvtAccept', 'progCustInvtView'}]"
6,"[{'simpCustInvtIntent', 'progDistColdView', 'simpDistColdIntent', 'progCustColdIntent', 'simpCustInvtComplete', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtIntent', 'simpMembInvtIntent', 'simpDistInvtIntent', 'progMembColdIntent', 'progMembInvtComplete', 'simpMembColdComplete', 'progMembColdView', 'simpDistInvtLanding', 'simpDistInvtComplete', 'simpCustColdView', 'simpMembInvtComplete', 'progCustInvtComplete', 'progCustColdView', 'legacyMembColdIntent', 'simpMembColdView', 'simpMembInvtAccept', 'simpMembInvtView', 'simpCustColdIntent', 'simpDistInvtView', 'simpDistColdView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progDistColdIntent', 'progMembInvtView', 'legacyMembColdComplete', 'legacyMembColdView', 'simpCustColdComplete', 'progDistColdComplete', 'poCustColdIntent', 'simpCustInvtLanding', 'progMembColdComplete', 'simpDistColdComplete', 'simpMembInvtLanding', 'simpCustInvtAccept', 'progCustInvtView'}]"
7,"[{'simpCustInvtIntent', 'progDistColdView', 'simpDistColdIntent', 'progCustColdIntent', 'simpCustInvtComplete', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtIntent', 'simpMembInvtIntent', 'simpDistInvtIntent', 'progMembColdIntent', 'progMembInvtComplete', 'simpMembColdComplete', 'progMembColdView', 'simpDistInvtLanding', 'simpDistInvtComplete', 'simpCustColdView', 'simpMembInvtComplete', 'progCustInvtComplete', 'progCustColdView', 'simpMembColdView', 'simpMembInvtAccept', 'simpMembInvtView', 'simpCustColdIntent', 'simpDistInvtView', 'simpDistColdView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progDistColdIntent', 'progMembInvtView', 'simpCustColdComplete', 'progDistColdComplete', 'poCustColdIntent', 'simpCustInvtLanding', 'progMembColdComplete', 'simpDistColdComplete', 'simpMembInvtLanding', 'simpCustInvtAccept', 'progCustInvtView'}]"
8,"[{'simpCustInvtIntent', 'progDistColdView', 'simpDistColdIntent', 'progCustColdIntent', 'simpCustInvtComplete', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtIntent', 'simpMembInvtIntent', 'simpDistInvtIntent', 'progMembColdIntent', 'progMembInvtComplete', 'simpMembColdComplete', 'progMembColdView', 'simpDistInvtLanding', 'simpDistInvtComplete', 'simpCustColdView', 'simpMembInvtComplete', 'progCustInvtComplete', 'progCustColdView', 'simpMembColdView', 'simpMembInvtAccept', 'simpMembInvtView', 'simpCustColdIntent', 'simpDistInvtView', 'simpDistColdView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progDistColdIntent', 'progMembInvtView', 'simpCustColdComplete', 'progDistColdComplete', 'poCustColdIntent', 'simpCustInvtLanding', 'progMembColdComplete', 'simpDistColdComplete', 'simpMembInvtLanding', 'simpCustInvtAccept', 'progCustInvtView'}]"
9,"[{'simpCustInvtIntent', 'progDistColdView', 'simpDistColdIntent', 'progCustColdIntent', 'simpCustInvtComplete', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtIntent', 'simpMembInvtIntent', 'simpDistInvtIntent', 'progMembColdIntent', 'progMembInvtComplete', 'simpMembColdComplete', 'progMembColdView', 'simpDistInvtLanding', 'simpDistInvtComplete', 'simpCustColdView', 'simpMembInvtComplete', 'progCustInvtComplete', 'progCustColdView', 'simpMembColdView', 'simpMembInvtAccept', 'simpMembInvtView', 'simpCustColdIntent', 'simpDistInvtView', 'simpDistColdView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progDistColdIntent', 'progMembInvtView', 'simpCustColdComplete', 'progDistColdComplete', 'poCustColdIntent', 'simpCustInvtLanding', 'progMembColdComplete', 'simpDistColdComplete', 'simpMembInvtLanding', 'simpCustInvtAccept', 'progCustInvtView'}]"
10,"[{'simpCustInvtIntent', 'progDistColdView', 'simpDistColdIntent', 'progCustColdIntent', 'simpCustInvtComplete', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtIntent', 'simpMembInvtIntent', 'simpDistInvtIntent', 'progMembColdIntent', 'progMembInvtComplete', 'simpMembColdComplete', 'progMembColdView', 'simpDistInvtLanding', 'simpDistInvtComplete', 'simpCustColdView', 'simpMembInvtComplete', 'progCustInvtComplete', 'progCustColdView', 'simpMembColdView', 'simpMembInvtAccept', 'simpMembInvtView', 'simpCustColdIntent', 'simpDistInvtView', 'simpDistColdView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progDistColdIntent', 'progMembInvtView', 'simpCustColdComplete', 'progDistColdComplete', 'poCustColdIntent', 'simpCustInvtLanding', 'progMembColdComplete', 'simpDistColdComplete', 'simpMembInvtLanding', 'simpCustInvtAccept', 'progCustInvtView'}]"
11,"[{'simpCustInvtIntent', 'progDistColdView', 'simpDistColdIntent', 'progCustColdIntent', 'simpCustInvtComplete', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtIntent', 'simpMembInvtIntent', 'simpDistInvtIntent', 'progMembColdIntent', 'progMembInvtComplete', 'simpMembColdComplete', 'progMembColdView', 'simpDistInvtLanding', 'simpDistInvtComplete', 'simpCustColdView', 'simpMembInvtComplete', 'progCustInvtComplete', 'progCustColdView', 'legacyMembColdIntent', 'simpMembColdView', 'simpMembInvtAccept', 'simpMembInvtView', 'simpCustColdIntent', 'simpDistInvtView', 'simpDistColdView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progDistColdIntent', 'progMembInvtView', 'legacyMembColdComplete', 'legacyMembColdView', 'simpCustColdComplete', 'progDistColdComplete', 'poCustColdIntent', 'simpCustInvtLanding', 'progMembColdComplete', 'simpDistColdComplete', 'simpMembInvtLanding', 'simpCustInvtAccept', 'progCustInvtView'}]"
12,"[{'simpCustInvtIntent', 'progDistColdView', 'simpDistColdIntent', 'progCustColdIntent', 'simpCustInvtComplete', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtIntent', 'simpMembInvtIntent', 'simpDistInvtIntent', 'progMembColdIntent', 'progMembInvtComplete', 'simpMembColdComplete', 'progMembColdView', 'simpDistInvtLanding', 'simpDistInvtComplete', 'simpCustColdView', 'simpMembInvtComplete', 'progCustInvtComplete', 'progCustColdView', 'simpMembColdView', 'simpMembInvtAccept', 'simpMembInvtView', 'simpCustColdIntent', 'simpDistInvtView', 'simpDistColdView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progDistColdIntent', 'progMembInvtView', 'simpCustColdComplete', 'progDistColdComplete', 'poCustColdIntent', 'simpCustInvtLanding', 'progMembColdComplete', 'simpDistColdComplete', 'simpMembInvtLanding', 'simpCustInvtAccept', 'progCustInvtView'}]"
13,"[{'simpCustInvtIntent', 'progDistColdView', 'simpDistColdIntent', 'progCustColdIntent', 'simpCustInvtComplete', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtIntent', 'simpMembInvtIntent', 'simpDistInvtIntent', 'progMembColdIntent', 'progMembInvtComplete', 'simpMembColdComplete', 'progMembColdView', 'simpDistInvtLanding', 'simpDistInvtComplete', 'simpCustColdView', 'simpMembInvtComplete', 'progCustInvtComplete', 'progCustColdView', 'simpMembColdView', 'simpMembInvtAccept', 'simpMembInvtView', 'simpCustColdIntent', 'simpDistInvtView', 'simpDistColdView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progDistColdIntent', 'progMembInvtView', 'legacyMembColdComplete', 'simpCustColdComplete', 'progDistColdComplete', 'poCustColdIntent', 'simpCustInvtLanding', 'progMembColdComplete', 'simpDistColdComplete', 'simpMembInvtLanding', 'simpCustInvtAccept', 'progCustInvtView'}]"
14,"[{'simpCustInvtIntent', 'progDistColdView', 'simpDistColdIntent', 'progCustColdIntent', 'simpCustInvtComplete', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtIntent', 'simpMembInvtIntent', 'simpDistInvtIntent', 'progMembColdIntent', 'progMembInvtComplete', 'simpMembColdComplete', 'progMembColdView', 'simpDistInvtLanding', 'simpDistInvtComplete', 'simpCustColdView', 'simpMembInvtComplete', 'progCustInvtComplete', 'progCustColdView', 'simpMembColdView', 'simpMembInvtAccept', 'simpMembInvtView', 'simpCustColdIntent', 'simpDistInvtView', 'simpDistColdView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progDistColdIntent', 'progMembInvtView', 'simpCustColdComplete', 'progDistColdComplete', 'poCustColdIntent', 'simpCustInvtLanding', 'progMembColdComplete', 'simpDistColdComplete', 'simpMembInvtLanding', 'simpCustInvtAccept', 'progCustInvtView'}]"
15,"[{'simpCustInvtIntent', 'progDistColdView', 'simpDistColdIntent', 'progCustColdIntent', 'simpCustInvtComplete', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtIntent', 'simpMembInvtIntent', 'simpDistInvtIntent', 'progMembColdIntent', 'progMembInvtComplete', 'simpMembColdComplete', 'progMembColdView', 'simpDistInvtLanding', 'simpDistInvtComplete', 'simpMembInvtComplete', 'progCustInvtComplete', 'progCustColdView', 'simpMembColdView', 'simpMembInvtAccept', 'simpMembInvtView', 'simpDistInvtView', 'simpDistColdView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progDistColdIntent', 'progMembInvtView', 'simpCustColdComplete', 'progDistColdComplete', 'poCustColdIntent', 'simpCustInvtLanding', 'progMembColdComplete', 'simpDistColdComplete', 'simpMembInvtLanding', 'simpCustInvtAccept', 'progCustInvtView'}]"
16,"[{'simpCustInvtIntent', 'simpDistColdIntent', 'progCustColdIntent', 'simpCustInvtComplete', 'simpCustInvtView', 'progCustColdComplete', 'simpMembInvtIntent', 'simpDistInvtIntent', 'progMembColdIntent', 'simpMembColdComplete', 'progMembColdView', 'simpDistInvtLanding', 'simpDistInvtComplete', 'simpCustColdView', 'simpMembInvtComplete', 'legacyMembInvtIntent', 'progCustInvtComplete', 'legacyMembColdIntent', 'simpMembColdView', 'legacyCustColdView', 'legacyMembInvtComplete', 'legacyCustColdComplete', 'simpMembInvtAccept', 'simpMembInvtView', 'simpCustColdIntent', 'simpDistInvtView', 'simpDistColdView', 'simpMembColdIntent', 'legacyCustInvtView', 'legacyCustInvtComplete', 'simpDistInvtAccept', 'legacyMembColdComplete', 'legacyMembColdView', 'simpCustColdComplete', 'poCustColdIntent', 'simpCustInvtLanding', 'progMembColdComplete', 'simpDistColdComplete', 'legacyMembInvtView', 'simpMembInvtLanding', 'simpCustInvtAccept', 'progCustInvtView'}]"
17,"[{'simpCustInvtIntent', 'progDistColdView', 'simpDistColdIntent', 'progCustColdIntent', 'simpCustInvtComplete', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtIntent', 'simpMembInvtIntent', 'simpDistInvtIntent', 'progMembColdIntent', 'progMembInvtComplete', 'simpMembColdComplete', 'progMembColdView', 'simpDistInvtLanding', 'simpDistInvtComplete', 'simpCustColdView', 'simpMembInvtComplete', 'progCustInvtComplete', 'progCustColdView', 'simpMembColdView', 'simpMembInvtAccept', 'simpMembInvtView', 'simpCustColdIntent', 'simpDistInvtView', 'simpDistColdView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progDistColdIntent', 'progMembInvtView', 'simpCustColdComplete', 'progDistColdComplete', 'poCustColdIntent', 'simpCustInvtLanding', 'progMembColdComplete', 'simpDistColdComplete', 'simpMembInvtLanding', 'simpCustInvtAccept', 'progCustInvtView'}]"
18,"[{'simpCustInvtIntent', 'progDistColdView', 'progCustColdIntent', 'simpCustInvtComplete', 'poCustColdView', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtIntent', 'simpMembInvtIntent', 'progMembColdIntent', 'progMembInvtComplete', 'simpMembColdComplete', 'progMembColdView', 'simpDistInvtComplete', 'simpCustColdView', 'simpMembInvtComplete', 'legacyMembInvtIntent', 'progCustInvtComplete', 'progCustColdView', 'legacyMembColdIntent', 'simpMembColdView', 'legacyCustColdView', 'legacyMembInvtComplete', 'legacyCustColdComplete', 'simpMembInvtAccept', 'simpMembInvtView', 'simpCustColdIntent', 'simpMembColdIntent', 'legacyCustInvtView', 'legacyCustInvtComplete', 'progDistColdIntent', 'progMembInvtView', 'legacyMembColdComplete', 'legacyMembColdView', 'simpCustColdComplete', 'poCustColdIntent', 'poCustColdComplete', 'simpCustInvtLanding', 'progMembColdComplete', 'legacyMembInvtView', 'simpMembInvtLanding', 'simpCustInvtAccept', 'progCustInvtView'}]"
19,"[{'simpCustInvtIntent', 'progDistColdView', 'simpDistColdIntent', 'progCustColdIntent', 'simpCustInvtComplete', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtIntent', 'simpMembInvtIntent', 'simpDistInvtIntent', 'progMembColdIntent', 'progMembInvtComplete', 'simpMembColdComplete', 'progMembColdView', 'simpDistInvtLanding', 'simpDistInvtComplete', 'simpCustColdView', 'simpMembInvtComplete', 'progCustInvtComplete', 'progCustColdView', 'legacyMembColdIntent', 'simpMembColdView', 'simpMembInvtAccept', 'simpMembInvtView', 'simpCustColdIntent', 'simpDistInvtView', 'simpDistColdView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progDistColdIntent', 'progMembInvtView', 'legacyMembColdComplete', 'legacyMembColdView', 'simpCustColdComplete', 'progDistColdComplete', 'poCustColdIntent', 'simpCustInvtLanding', 'progMembColdComplete', 'simpDistColdComplete', 'simpMembInvtLanding', 'simpCustInvtAccept', 'progCustInvtView'}]"
20,"[{'simpCustInvtIntent', 'progDistColdView', 'simpDistColdIntent', 'progCustColdIntent', 'simpCustInvtComplete', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtIntent', 'simpMembInvtIntent', 'simpDistInvtIntent', 'progMembColdIntent', 'progMembInvtComplete', 'simpMembColdComplete', 'progMembColdView', 'simpDistInvtLanding', 'simpDistInvtComplete', 'simpCustColdView', 'simpMembInvtComplete', 'progCustInvtComplete', 'progCustColdView', 'legacyMembColdIntent', 'simpMembColdView', 'simpMembInvtAccept', 'simpMembInvtView', 'simpCustColdIntent', 'simpDistInvtView', 'simpDistColdView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progDistColdIntent', 'progMembInvtView', 'legacyMembColdComplete', 'legacyMembColdView', 'simpCustColdComplete', 'progDistColdComplete', 'poCustColdIntent', 'simpCustInvtLanding', 'progMembColdComplete', 'simpDistColdComplete', 'simpMembInvtLanding', 'simpCustInvtAccept', 'progCustInvtView'}]"
21,"[{'simpCustInvtIntent', 'progDistColdView', 'simpDistColdIntent', 'progCustColdIntent', 'simpCustInvtComplete', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtIntent', 'simpMembInvtIntent', 'simpDistInvtIntent', 'progMembColdIntent', 'progMembInvtComplete', 'simpMembColdComplete', 'progMembColdView', 'simpDistInvtLanding', 'simpDistInvtComplete', 'simpCustColdView', 'simpMembInvtComplete', 'progCustInvtComplete', 'progCustColdView', 'simpMembColdView', 'simpMembInvtAccept', 'simpMembInvtView', 'simpCustColdIntent', 'simpDistInvtView', 'simpDistColdView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progDistColdIntent', 'progMembInvtView', 'legacyMembColdComplete', 'simpCustColdComplete', 'progDistColdComplete', 'poCustColdIntent', 'simpCustInvtLanding', 'progMembColdComplete', 'simpDistColdComplete', 'simpMembInvtLanding', 'simpCustInvtAccept', 'progCustInvtView'}]"
22,"[{'simpCustInvtIntent', 'progDistColdView', 'simpDistColdIntent', 'progCustColdIntent', 'simpCustInvtComplete', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtIntent', 'simpMembInvtIntent', 'simpDistInvtIntent', 'progMembColdIntent', 'progMembInvtComplete', 'simpMembColdComplete', 'progMembColdView', 'simpDistInvtLanding', 'simpDistInvtComplete', 'simpCustColdView', 'simpMembInvtComplete', 'progCustInvtComplete', 'progCustColdView', 'simpMembColdView', 'simpMembInvtAccept', 'simpMembInvtView', 'simpCustColdIntent', 'simpDistInvtView', 'simpDistColdView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progDistColdIntent', 'progMembInvtView', 'legacyMembColdComplete', 'simpCustColdComplete', 'progDistColdComplete', 'poCustColdIntent', 'simpCustInvtLanding', 'progMembColdComplete', 'simpDistColdComplete', 'simpMembInvtLanding', 'simpCustInvtAccept', 'progCustInvtView'}]"
