Event Action,Country Code (URL),Total Events,Unique Events,Event Value,Avg. Value
poCustColdView,US,41078,34216,0,0.00
legacyDistColdView,ZA,34170,16126,0,0.00
legacyDistColdView,ID,32824,16668,0,0.00
legacyDistInvtView,US,32365,17505,0,0.00
poCustColdView,GB,31184,27000,0,0.00
legacyDistColdView,US,29039,16786,0,0.00
poCustColdComplete,US,27028,25230,0,0.00
legacyDistInvtView,ZA,22997,11474,0,0.00
legacyMembColdView,JP,22614,12656,0,0.00
poCustColdComplete,GB,21924,20683,0,0.00
legacyMembInvtView,US,20109,11952,0,0.00
legacyDistColdView,MX,18758,9730,0,0.00
legacyDistColdSubmit,ID,18248,12210,0,0.00
legacyDistColdIntent,ID,18179,12908,0,0.00
legacyMembColdView,CL,17033,9650,0,0.00
legacyCustColdView,US,16183,10673,0,0.00
legacyDistColdView,GB,15925,9853,0,0.00
legacyDistColdVerify,ID,15399,11860,0,0.00
legacyMembInvtView,CL,15384,10903,0,0.00
legacyMembInvtView,AR,14867,11702,0,0.00
legacyDistColdView,CL,14609,8406,0,0.00
legacyDistInvtView,PL,13688,7659,0,0.00
legacyDistColdComplete,ID,13613,11940,0,0.00
legacyDistColdView,PH,13322,6910,0,0.00
simpDistColdView,PH,13235,7980,0,0.00
legacyDistInvtView,GB,13135,6670,0,0.00
legacyDistColdSubmit,ZA,12541,6932,0,0.00
legacyDistColdView,CO,11273,5647,0,0.00
poCustColdView,ES,10745,9260,0,0.00
legacyDistColdIntent,ZA,10717,7922,0,0.00
simpDistColdFindAff,PH,10590,6250,0,0.00
poCustColdView,FR,10330,8572,0,0.00
legacyDistInvtSubmit,US,9915,4884,0,0.00
legacyMembColdIntent,CL,9690,7645,0,0.00
simpDistColdIntent,PH,9535,6528,0,0.00
legacyMembColdView,US,9398,5468,0,0.00
legacyMembColdSubmit,CL,9291,6700,0,0.00
simpDistColdNextBttn,PH,9233,6150,0,0.00
legacyDistInvtView,CO,9165,4675,0,0.00
simpDistColdFormStart,PH,8737,5903,0,0.00
legacyDistColdView,MY,8410,4451,0,0.00
legacyMembInvtView,SK,8396,6027,0,0.00
legacyCustColdSubmit,US,8394,5531,0,0.00
legacyDistColdSubmit,US,8359,4786,0,0.00
legacyMembColdIntent,JP,8316,7236,0,0.00
poCustColdView,DE,8179,6579,0,0.00
legacyDistInvtIntent,US,8106,6269,0,0.00
poCustColdView,CL,8028,4912,0,0.00
legacyDistInvtSubmit,ZA,7847,3757,0,0.00
legacyMembColdVerify,CL,7808,6452,0,0.00
legacyDistInvtView,CL,7463,4429,0,0.00
legacyDistInvtView,ES,7206,4264,0,0.00
legacyMembColdView,CA,7082,3093,0,0.00
legacyDistInvtView,HU,7050,3607,0,0.00
legacyDistColdIntent,US,7033,5621,0,0.00
legacyDistInvtView,CA,6903,3393,0,0.00
legacyMembInvtView,CA,6880,3731,0,0.00
legacyDistInvtView,PH,6806,3604,0,0.00
legacyMembColdComplete,CL,6680,6232,0,0.00
poCustColdComplete,FR,6556,6181,0,0.00
poCustColdIntent,US,6533,6183,0,0.00
legacyDistInvtIntent,ZA,6477,4979,0,0.00
legacyMembColdSubmit,JP,6445,4373,0,0.00
legacyMembColdView,MX,6342,3535,0,0.00
legacyCustColdView,GB,6311,3920,0,0.00
legacyDistColdIntent,CL,6303,5045,0,0.00
legacyMembInvtSubmit,US,6297,3665,0,0.00
legacyDistColdSubmit,CL,6268,4132,0,0.00
legacyDistInvtView,FR,6234,3590,0,0.00
legacyCustInvtView,US,6095,4072,0,0.00
poCustColdComplete,ES,5981,5795,0,0.00
legacyDistColdView,TH,5960,2599,0,0.00
poCustColdView,ZA,5938,4656,0,0.00
simpDistColdComplete,PH,5852,4432,0,0.00
legacyDistInvtView,DE,5827,2938,0,0.00
simpMembInvtLanding,MX,5810,3952,0,0.00
simpDistColdView,MX,5776,3996,0,0.00
legacyDistColdVerify,ZA,5571,4973,0,0.00
legacyCustColdView,CL,5450,3328,0,0.00
poCustColdView,PL,5444,4271,0,0.00
legacyMembColdSubmit,CA,5418,2676,0,0.00
legacyDistColdIntent,MX,5380,4029,0,0.00
legacyMembInvtView,PL,5362,3027,0,0.00
simpDistInvtLanding,MX,5337,3411,0,0.00
legacyDistColdSubmit,MX,5326,3227,0,0.00
legacyMembColdComplete,JP,5182,5123,0,0.00
legacyMembInvtIntent,US,5147,4170,0,0.00
legacyDistInvtView,RO,5143,1938,0,0.00
legacyDistColdIntent,GB,5034,4118,0,0.00
poCustColdComplete,DE,5003,4789,0,0.00
legacyDistColdComplete,ZA,4996,4824,0,0.00
legacyDistColdSubmit,PH,4960,2824,0,0.00
legacyDistColdSubmit,CO,4861,3030,0,0.00
legacyDistColdView,RO,4843,1939,0,0.00
legacyMembColdIntent,CA,4743,2448,0,0.00
legacyDistColdVerify,CL,4719,3747,0,0.00
legacyDistColdSubmit,GB,4675,3038,0,0.00
legacyDistColdView,CA,4632,2542,0,0.00
legacyDistInvtSubmit,GB,4617,2280,0,0.00
legacyDistColdView,AU,4593,2341,0,0.00
legacyDistColdView,FR,4537,2760,0,0.00
legacyDistColdView,DE,4529,2696,0,0.00
legacyMembColdSubmit,US,4513,2995,0,0.00
simpDistColdFormStart,MX,4454,3540,0,0.00
poCustColdView,MX,4407,3527,0,0.00
legacyDistColdIntent,PH,4358,3374,0,0.00
legacyDistColdIntent,CO,4332,3320,0,0.00
legacyDistColdView,PL,4329,2544,0,0.00
legacyMembColdView,AR,4299,2758,0,0.00
legacyMembColdIntent,US,4245,3240,0,0.00
legacyMembInvtView,ZA,4191,2922,0,0.00
legacyMembInvtView,FR,4177,2537,0,0.00
legacyCustColdView,FR,4161,2772,0,0.00
legacyCustInvtView,FR,4132,2817,0,0.00
legacyDistColdSubmit,MY,3985,2664,0,0.00
legacyDistColdIntent,MY,3973,3000,0,0.00
legacyMembColdComplete,CA,3938,2495,0,0.00
legacyMembColdView,VN,3917,1904,0,0.00
legacyDistInvtIntent,PL,3874,2970,0,0.00
poCustColdComplete,PL,3846,3458,0,0.00
poCustColdComplete,ZA,3834,3473,0,0.00
legacyDistInvtIntent,GB,3826,2968,0,0.00
poCustColdView,CA,3766,2829,0,0.00
legacyDistColdComplete,CL,3762,3506,0,0.00
legacyMembInvtSubmit,CL,3761,2508,0,0.00
legacyDistInvtComplete,US,3737,3714,0,0.00
simpDistInvtError,PH,3736,1305,0,0.00
legacyMembInvtView,CO,3672,2558,0,0.00
legacyMembColdVerify,CA,3644,2242,0,0.00
legacyDistInvtSubmit,PL,3640,2028,0,0.00
legacyMembInvtIntent,CL,3599,2985,0,0.00
legacyDistColdView,ES,3577,2259,0,0.00
simpDistColdFindAff,MX,3560,2223,0,0.00
legacyDistInvtVerify,US,3532,3400,0,0.00
legacyDistColdComplete,GB,3491,3224,0,0.00
legacyCustColdView,DE,3399,2020,0,0.00
legacyDistColdVerify,GB,3297,2983,0,0.00
legacyDistColdVerify,MY,3278,2656,0,0.00
legacyDistColdVerify,CO,3276,2667,0,0.00
simpDistColdIntent,MX,3256,2577,0,0.00
legacyCustInvtView,ES,3246,2219,0,0.00
legacyDistInvtView,SK,3243,1886,0,0.00
legacyDistInvtVerify,ZA,3227,2949,0,0.00
legacyMembInvtComplete,US,3190,2969,0,0.00
simpMembInvtAccept,MX,3178,2518,0,0.00
legacyDistColdComplete,US,3129,3064,0,0.00
simpDistColdView,ID,3111,2141,0,0.00
legacyMembInvtVerify,US,3092,2831,0,0.00
legacyDistColdVerify,PH,3083,2362,0,0.00
legacyDistColdVerify,US,3056,2788,0,0.00
legacyDistColdSubmit,TH,3051,1500,0,0.00
legacyDistInvtView,MX,3044,1814,0,0.00
simpDistInvtAccept,MX,3008,2314,0,0.00
legacyDistInvtSubmit,CO,2973,1056,0,0.00
legacyDistInvtComplete,ZA,2927,2867,0,0.00
legacyDistColdView,SG,2908,1734,0,0.00
legacyMembInvtView,DK,2905,1705,0,0.00
legacyDistInvtView,SE,2898,1407,0,0.00
legacyDistColdView,HK,2885,1634,0,0.00
legacyMembInvtSubmit,CA,2881,1638,0,0.00
legacyMembInvtView,CZ,2856,1748,0,0.00
legacyMembColdComplete,US,2854,2524,0,0.00
legacyDistColdComplete,MY,2843,2551,0,0.00
legacyDistInvtView,AR,2843,1665,0,0.00
progMembInvtView,PE,2822,2301,0,0.00
progDistColdView,PE,2793,2033,0,0.00
legacyCustColdSubmit,GB,2786,1581,0,0.00
legacyCustColdView,ES,2765,1787,0,0.00
legacyMembInvtView,DE,2761,1585,0,0.00
poCustColdComplete,CA,2749,2280,0,0.00
progDistInvtView,PE,2734,2072,0,0.00
legacyDistColdComplete,CO,2725,2520,0,0.00
legacyCustColdView,CA,2710,1752,0,0.00
legacyDistColdIntent,TH,2689,1712,0,0.00
legacyMembColdVerify,US,2683,2317,0,0.00
legacyMembColdIntent,AR,2679,2184,0,0.00
legacyDistColdComplete,MX,2669,2593,0,0.00
simpDistColdNextBttn,MX,2656,2164,0,0.00
legacyMembInvtVerify,CL,2649,2302,0,0.00
legacyDistInvtView,CZ,2612,1444,0,0.00
legacyDistColdVerify,MX,2606,2352,0,0.00
legacyDistInvtView,AU,2581,1419,0,0.00
legacyMembInvtIntent,CA,2551,1792,0,0.00
legacyMembColdIntent,MX,2523,1984,0,0.00
legacyDistInvtIntent,HU,2496,1888,0,0.00
poCustColdView,AT,2481,2048,0,0.00
legacyMembInvtView,MX,2459,1607,0,0.00
legacyDistColdComplete,PH,2407,2233,0,0.00
legacyDistColdVerify,TH,2402,1503,0,0.00
legacyMembInvtView,ES,2394,1650,0,0.00
legacyDistInvtSubmit,CL,2389,1312,0,0.00
poCustColdComplete,MX,2373,2184,0,0.00
legacyMembInvtView,GB,2369,1259,0,0.00
legacyCustColdView,ZA,2366,1314,0,0.00
legacyDistInvtSubmit,HU,2362,1290,0,0.00
poCustColdComplete,CL,2340,2226,0,0.00
legacyDistInvtIntent,CL,2326,1884,0,0.00
simpDistColdComplete,MX,2306,2219,0,0.00
legacyCustInvtView,DE,2294,1437,0,0.00
legacyMembColdSubmit,MX,2275,1541,0,0.00
legacyMembInvtComplete,CL,2275,2150,0,0.00
legacyCustColdComplete,US,2267,2124,0,0.00
legacyDistInvtSubmit,CA,2264,894,0,0.00
legacyCustColdVerify,US,2213,2007,0,0.00
poCustColdView,CO,2211,1425,0,0.00
simpCustColdView,MX,2207,1480,0,0.00
legacyDistInvtComplete,GB,2190,2126,0,0.00
legacyDistColdView,PT,2189,1364,0,0.00
legacyDistColdView,HU,2184,1256,0,0.00
legacyMembColdSubmit,AR,2167,1662,0,0.00
simpDistColdFindAff,ID,2129,1379,0,0.00
legacyDistColdSubmit,AU,2116,1152,0,0.00
legacyDistInvtVerify,GB,2103,1983,0,0.00
legacyDistInvtView,MY,2096,1166,0,0.00
simpDistColdIntent,ID,2049,1526,0,0.00
progDistColdView,HK,2045,1480,0,0.00
poCustColdView,AU,2042,1598,0,0.00
simpDistColdView,MY,2014,1391,0,0.00
legacyDistInvtSubmit,RO,2013,727,0,0.00
legacyDistColdComplete,TH,1995,1434,0,0.00
legacyDistColdView,NZ,1984,999,0,0.00
legacyMembColdComplete,AR,1983,1808,0,0.00
legacyMembColdVerify,AR,1981,1750,0,0.00
legacyDistInvtSubmit,PH,1944,958,0,0.00
progDistColdIntent,PE,1942,1531,0,0.00
legacyCustColdSubmit,CL,1940,1443,0,0.00
simpMembColdView,VN,1935,1177,0,0.00
legacyDistInvtSubmit,ES,1893,1100,0,0.00
legacyDistInvtIntent,CO,1887,1380,0,0.00
legacyCustInvtView,CL,1850,1274,0,0.00
legacyDistColdView,AR,1826,1161,0,0.00
legacyDistInvtVerify,PL,1826,1694,0,0.00
legacyCustColdView,CO,1816,852,0,0.00
legacyMembInvtSubmit,PL,1797,1155,0,0.00
simpDistColdNextBttn,ID,1795,1350,0,0.00
legacyMembInvtIntent,PL,1770,1452,0,0.00
simpMembColdFormStart,MX,1770,1440,0,0.00
legacyDistInvtView,HK,1763,1102,0,0.00
legacyMembInvtComplete,CA,1748,1460,0,0.00
legacyMembColdIntent,VN,1747,1150,0,0.00
legacyDistInvtView,IT,1742,987,0,0.00
legacyMembInvtSubmit,AR,1726,1124,0,0.00
progDistColdRegClick,PE,1726,1167,0,0.00
legacyDistInvtView,BE,1723,872,0,0.00
legacyMembInvtView,BE,1712,891,0,0.00
legacyDistInvtView,DK,1699,951,0,0.00
legacyMembInvtVerify,CA,1695,1368,0,0.00
legacyDistInvtComplete,PL,1692,1690,0,0.00
legacyDistInvtView,NO,1691,964,0,0.00
legacyMembInvtSubmit,SK,1682,1014,0,0.00
legacyDistInvtIntent,ES,1681,1380,0,0.00
simpDistColdFormStart,ID,1675,1256,0,0.00
legacyMembInvtIntent,AR,1660,1446,0,0.00
legacyDistColdSubmit,RO,1658,679,0,0.00
legacyDistInvtIntent,CA,1652,1197,0,0.00
legacyDistInvtIntent,PH,1646,1286,0,0.00
legacyMembColdComplete,MX,1644,1553,0,0.00
legacyCustColdView,MX,1642,1162,0,0.00
legacyDistInvtIntent,RO,1640,1029,0,0.00
legacyDistColdIntent,AU,1639,1130,0,0.00
legacyDistInvtSubmit,DE,1634,865,0,0.00
legacyDistInvtSubmit,FR,1611,837,0,0.00
legacyDistInvtIntent,DE,1608,1200,0,0.00
poCustColdComplete,AT,1608,1510,0,0.00
legacyMembColdSubmit,VN,1583,850,0,0.00
legacyMembColdVerify,MX,1572,1458,0,0.00
legacyMembInvtView,HU,1567,888,0,0.00
legacyDistInvtIntent,FR,1562,1218,0,0.00
legacyDistInvtView,CH,1548,934,0,0.00
legacyCustColdSubmit,FR,1503,1101,0,0.00
legacyCustColdView,PL,1495,953,0,0.00
legacyCustColdView,AT,1492,886,0,0.00
simpDistColdFindAff,MY,1481,968,0,0.00
legacyMembInvtIntent,FR,1462,1246,0,0.00
legacyDistInvtView,AT,1453,713,0,0.00
poCustColdView,CH,1437,1161,0,0.00
legacyDistColdView,SE,1433,818,0,0.00
legacyCustColdVerify,CL,1419,1177,0,0.00
legacyDistInvtVerify,CL,1416,1128,0,0.00
progCustInvtView,PE,1405,1339,0,0.00
legacyDistColdView,SK,1403,779,0,0.00
legacyDistColdSubmit,CA,1401,669,0,0.00
simpDistColdIntent,MY,1381,1045,0,0.00
simpMembColdFindAff,VN,1358,849,0,0.00
legacyDistColdView,CH,1357,823,0,0.00
legacyMembInvtIntent,SK,1354,1204,0,0.00
legacyDistColdView,IT,1344,714,0,0.00
legacyDistInvtView,TH,1340,613,0,0.00
poCustColdComplete,AU,1333,1195,0,0.00
progDistColdComplete,PE,1327,1213,0,0.00
legacyDistColdIntent,RO,1308,821,0,0.00
legacyMembColdVerify,VN,1307,870,0,0.00
legacyMembInvtSubmit,FR,1292,936,0,0.00
legacyCustColdView,AR,1264,730,0,0.00
simpMembColdIntent,VN,1262,932,0,0.00
legacyCustInvtSubmit,US,1258,805,0,0.00
legacyCustInvtView,AT,1257,808,0,0.00
poCustColdView,HU,1235,967,0,0.00
simpCustInvtLanding,MX,1235,916,0,0.00
simpDistColdNextBttn,MY,1227,942,0,0.00
simpDistColdComplete,ID,1224,991,0,0.00
legacyCustColdSubmit,DE,1219,770,0,0.00
poCustColdView,RO,1212,914,0,0.00
legacyCustColdSubmit,CA,1194,789,0,0.00
legacyDistInvtView,ID,1193,706,0,0.00
progDistColdInfoClick,PE,1193,1069,0,0.00
progDistColdIntent,HK,1192,871,0,0.00
legacyCustColdView,AU,1176,885,0,0.00
legacyDistColdComplete,AU,1174,933,0,0.00
poCustColdView,PT,1172,913,0,0.00
legacyCustInvtView,CA,1167,660,0,0.00
legacyDistInvtVerify,HU,1138,1046,0,0.00
legacyDistColdVerify,AU,1134,841,0,0.00
legacyMembInvtIntent,DK,1134,934,0,0.00
legacyCustColdComplete,CL,1133,1069,0,0.00
legacyDistInvtView,NL,1124,600,0,0.00
legacyMembInvtView,AT,1113,646,0,0.00
legacyDistColdSubmit,FR,1110,592,0,0.00
legacyMembColdComplete,VN,1108,823,0,0.00
legacyDistColdSubmit,DE,1106,640,0,0.00
legacyMembInvtSubmit,ZA,1105,716,0,0.00
legacyCustColdView,RO,1097,591,0,0.00
legacyCustInvtSubmit,FR,1094,780,0,0.00
simpDistColdFormStart,MY,1093,845,0,0.00
simpMembColdComplete,MX,1080,1023,0,0.00
legacyMembInvtIntent,ZA,1078,916,0,0.00
legacyDistInvtView,NZ,1077,622,0,0.00
legacyDistColdIntent,PL,1070,838,0,0.00
legacyMembInvtVerify,PL,1061,1015,0,0.00
poCustColdView,IT,1061,809,0,0.00
legacyDistInvtComplete,CL,1051,1030,0,0.00
legacyMembInvtComplete,PL,1049,1018,0,0.00
legacyDistColdView,CZ,1044,634,0,0.00
legacyDistColdSubmit,PL,1041,647,0,0.00
legacyCustColdSubmit,ZA,1038,481,0,0.00
legacyCustColdSubmit,ES,1030,727,0,0.00
legacyDistInvtView,RU,1030,600,0,0.00
legacyDistInvtComplete,HU,1024,1020,0,0.00
legacyDistInvtSubmit,SE,1015,481,0,0.00
legacyDistColdIntent,CA,1013,779,0,0.00
poCustColdView,BE,1013,786,0,0.00
legacyDistInvtVerify,ES,1012,927,0,0.00
legacyDistColdIntent,DE,1007,790,0,0.00
legacyDistColdIntent,SG,1006,833,0,0.00
simpMembColdNextBttn,VN,992,795,0,0.00
progDistColdComplete,HK,990,771,0,0.00
legacyDistColdView,NO,980,574,0,0.00
simpMembColdFormStart,VN,979,799,0,0.00
legacyMembInvtSubmit,DK,977,663,0,0.00
legacyDistInvtVerify,CA,976,592,0,0.00
poCustColdComplete,CH,960,898,0,0.00
legacyMembInvtView,NO,940,522,0,0.00
legacyDistInvtVerify,PH,939,699,0,0.00
legacyMembInvtVerify,FR,939,911,0,0.00
legacyMembInvtComplete,FR,935,921,0,0.00
legacyDistInvtIntent,SK,934,716,0,0.00
legacyDistColdIntent,PT,933,754,0,0.00
legacyDistColdSubmit,ES,932,615,0,0.00
legacyDistColdSubmit,SG,923,613,0,0.00
legacyCustColdView,CH,920,525,0,0.00
legacyDistInvtComplete,ES,919,908,0,0.00
progDistInvtRegClick,PE,919,538,0,0.00
simpCustColdFormStart,MX,916,827,0,0.00
legacyDistColdView,BE,903,522,0,0.00
legacyDistInvtView,FI,901,492,0,0.00
legacyDistColdIntent,FR,899,742,0,0.00
legacyDistInvtSubmit,AU,898,439,0,0.00
legacyMembInvtVerify,AR,890,863,0,0.00
legacyDistColdView,NL,886,550,0,0.00
legacyDistColdSubmit,PT,881,636,0,0.00
legacyDistInvtSubmit,SK,879,489,0,0.00
legacyDistInvtView,SG,875,513,0,0.00
legacyMembInvtSubmit,GB,873,469,0,0.00
legacyDistColdView,AT,872,520,0,0.00
poCustColdComplete,HU,872,787,0,0.00
legacyCustInvtView,CO,870,655,0,0.00
legacyDistInvtView,PT,865,476,0,0.00
legacyDistInvtView,IE,862,430,0,0.00
legacyMembInvtComplete,AR,857,851,0,0.00
legacyDistColdSubmit,NZ,855,505,0,0.00
legacyCustInvtView,ZA,853,551,0,0.00
legacyCustColdView,NO,850,531,0,0.00
legacyDistInvtIntent,SE,843,626,0,0.00
legacyDistColdView,RU,841,532,0,0.00
legacyDistInvtVerify,CO,837,717,0,0.00
legacyDistColdIntent,ES,830,704,0,0.00
legacyCustColdView,SK,828,486,0,0.00
legacyDistInvtVerify,DE,826,692,0,0.00
simpDistInvtError,MX,825,355,0,0.00
poCustColdComplete,PT,821,727,0,0.00
legacyMembInvtVerify,SK,816,792,0,0.00
legacyMembInvtSubmit,CZ,815,545,0,0.00
legacyMembInvtIntent,CZ,814,688,0,0.00
simpDistColdComplete,MY,814,652,0,0.00
legacyCustColdView,SE,808,461,0,0.00
poCustColdView,SE,805,650,0,0.00
legacyCustInvtView,GB,804,504,0,0.00
legacyDistInvtVerify,FR,799,688,0,0.00
legacyMembInvtComplete,SK,798,782,0,0.00
legacyCustColdView,HU,775,539,0,0.00
poCustColdComplete,RO,773,714,0,0.00
progMembInvtView,HK,762,583,0,0.00
legacyCustInvtComplete,FR,761,735,0,0.00
legacyMembInvtIntent,DE,761,635,0,0.00
legacyMembInvtIntent,GB,761,622,0,0.00
legacyMembInvtSubmit,DE,752,456,0,0.00
legacyDistInvtComplete,DE,746,729,0,0.00
legacyMembInvtVerify,DK,745,687,0,0.00
