,Country,Event Action,Missing
0,AR,"['legacyDistColdView', 'legacyDistColdSubmit', 'legacyDistColdVerify', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdSubmit', 'legacyCustColdVerify', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyMembColdIntent', 'legacyMembColdSubmit', 'legacyMembColdVerify', 'legacyMembColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtSubmit', 'legacyDistInvtVerify', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtSubmit', 'legacyCustInvtVerify', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtSubmit', 'legacyMembInvtVerify', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete']","{'simpDistColdFormStart', 'progDistColdComplete', 'progMembInvtIntent', 'progDistColdIntent', 'progMembColdComplete', 'simpDistColdFindAff', 'simpCustColdContactMe', 'simpDistInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtSubmit', 'simpDistInvtError', 'simpCustColdView', 'simpMembInvtView', 'progMembColdView', 'progDistInvtComplete', 'simpCustInvtComplete', 'progCustColdComplete', 'progDistInvtView', 'simpCustColdFormStart', 'legacyDistColdIntent', 'simpDistColdView', 'simpCustInvtAccept', 'simpMembColdIntent', 'simpMembColdView', 'simpDistColdIntent', 'progMembInvtComplete', 'simpDistInvtIntent', 'progCustInvtComplete', 'progCustColdIntent', 'simpMembColdFormStart', 'simpDistInvtLanding', 'simpMembColdNextBttn', 'simpDistInvtView', 'simpCustInvtView', 'simpCustColdComplete', 'simpMembInvtLanding', 'simpCustInvtLanding', 'simpMembColdFindAff', 'simpMembInvtSubmit', 'simpCustInvtIntent', 'simpCustColdIntent', 'simpCustInvtSubmit', 'simpDistColdComplete', 'simpDistColdNextBttn', 'simpCustColdFindAff', 'simpMembInvtComplete', 'progMembInvtView', 'simpMembColdComplete', 'simpCustInvtError', 'simpDistInvtAccept', 'simpMembInvtError', 'poCustColdIntent', 'progDistColdView', 'progCustColdView', 'simpCustColdNextBttn', 'simpMembInvtAccept', 'progCustInvtView'}"
1,AT,"['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdSubmit', 'legacyDistColdVerify', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdSubmit', 'legacyCustColdVerify', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtSubmit', 'legacyDistInvtVerify', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtSubmit', 'legacyCustInvtVerify', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtSubmit', 'legacyMembInvtVerify', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete']","{'simpDistColdFormStart', 'progDistColdComplete', 'progMembInvtIntent', 'progDistColdIntent', 'progMembColdComplete', 'simpDistColdFindAff', 'simpCustColdContactMe', 'simpDistInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtSubmit', 'simpDistInvtError', 'simpCustColdView', 'simpMembInvtView', 'progMembColdView', 'progDistInvtComplete', 'simpCustInvtComplete', 'progCustColdComplete', 'progDistInvtView', 'simpCustColdFormStart', 'simpDistColdView', 'simpCustInvtAccept', 'simpMembColdIntent', 'simpMembColdView', 'simpDistColdIntent', 'progMembInvtComplete', 'simpDistInvtIntent', 'legacyMembColdIntent', 'progCustInvtComplete', 'legacyMembColdComplete', 'legacyMembColdVerify', 'progCustColdIntent', 'simpMembColdFormStart', 'simpDistInvtLanding', 'simpMembColdNextBttn', 'simpDistInvtView', 'simpCustInvtView', 'simpCustColdComplete', 'simpMembInvtLanding', 'simpCustInvtLanding', 'simpMembColdFindAff', 'simpMembInvtSubmit', 'simpCustInvtIntent', 'simpCustColdIntent', 'simpCustInvtSubmit', 'simpDistColdComplete', 'simpDistColdNextBttn', 'simpCustColdFindAff', 'simpMembInvtComplete', 'progMembInvtView', 'simpMembColdComplete', 'simpCustInvtError', 'simpDistInvtAccept', 'simpMembInvtError', 'poCustColdIntent', 'progDistColdView', 'progCustColdView', 'simpCustColdNextBttn', 'simpMembInvtAccept', 'legacyMembColdSubmit', 'progCustInvtView'}"
2,AU,"['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdSubmit', 'legacyDistColdVerify', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdSubmit', 'legacyCustColdVerify', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyMembColdIntent', 'legacyMembColdSubmit', 'legacyMembColdVerify', 'legacyMembColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtSubmit', 'legacyDistInvtVerify', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtSubmit', 'legacyCustInvtVerify', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtSubmit', 'legacyMembInvtVerify', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdIntent', 'poCustColdComplete']","{'simpDistColdFormStart', 'progDistColdComplete', 'progMembInvtIntent', 'progDistColdIntent', 'progMembColdComplete', 'simpDistColdFindAff', 'simpCustColdContactMe', 'simpDistInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtSubmit', 'simpDistInvtError', 'simpCustColdView', 'simpMembInvtView', 'progMembColdView', 'progDistInvtComplete', 'simpCustInvtComplete', 'progCustColdComplete', 'progDistInvtView', 'simpCustColdFormStart', 'simpDistColdView', 'simpCustInvtAccept', 'simpMembColdIntent', 'simpMembColdView', 'simpDistColdIntent', 'progMembInvtComplete', 'simpDistInvtIntent', 'progCustInvtComplete', 'progCustColdIntent', 'simpMembColdFormStart', 'simpDistInvtLanding', 'simpMembColdNextBttn', 'simpDistInvtView', 'simpCustInvtView', 'simpCustColdComplete', 'simpMembInvtLanding', 'simpCustInvtLanding', 'simpMembColdFindAff', 'simpMembInvtSubmit', 'simpCustInvtIntent', 'simpCustColdIntent', 'simpCustInvtSubmit', 'simpDistColdComplete', 'simpDistColdNextBttn', 'simpCustColdFindAff', 'simpMembInvtComplete', 'progMembInvtView', 'simpMembColdComplete', 'simpCustInvtError', 'simpDistInvtAccept', 'simpMembInvtError', 'progDistColdView', 'progCustColdView', 'simpCustColdNextBttn', 'simpMembInvtAccept', 'progCustInvtView'}"
3,BE,"['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdSubmit', 'legacyDistColdVerify', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdSubmit', 'legacyCustColdVerify', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtSubmit', 'legacyDistInvtVerify', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtSubmit', 'legacyCustInvtVerify', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtSubmit', 'legacyMembInvtVerify', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete', 'simpDistColdView', 'simpDistColdIntent', 'simpDistColdFindAff', 'simpDistColdNextBttn']","{'simpDistColdFormStart', 'progDistColdComplete', 'progMembInvtIntent', 'progDistColdIntent', 'progMembColdComplete', 'simpCustColdContactMe', 'simpDistInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtSubmit', 'simpDistInvtError', 'simpCustColdView', 'simpMembInvtView', 'progMembColdView', 'progDistInvtComplete', 'simpCustInvtComplete', 'progCustColdComplete', 'progDistInvtView', 'simpCustColdFormStart', 'simpCustInvtAccept', 'simpMembColdIntent', 'simpMembColdView', 'progMembInvtComplete', 'simpDistInvtIntent', 'legacyMembColdIntent', 'progCustInvtComplete', 'legacyMembColdComplete', 'legacyMembColdVerify', 'progCustColdIntent', 'simpMembColdFormStart', 'simpDistInvtLanding', 'simpMembColdNextBttn', 'simpDistInvtView', 'simpCustInvtView', 'simpCustColdComplete', 'simpMembInvtLanding', 'simpCustInvtLanding', 'simpMembColdFindAff', 'simpMembInvtSubmit', 'simpCustInvtIntent', 'simpCustColdIntent', 'simpCustInvtSubmit', 'simpDistColdComplete', 'simpCustColdFindAff', 'simpMembInvtComplete', 'progMembInvtView', 'simpMembColdComplete', 'simpCustInvtError', 'simpDistInvtAccept', 'simpMembInvtError', 'poCustColdIntent', 'progDistColdView', 'progCustColdView', 'simpCustColdNextBttn', 'simpMembInvtAccept', 'legacyMembColdSubmit', 'progCustInvtView'}"
4,BN,"['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdSubmit', 'legacyDistColdVerify', 'legacyDistColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtSubmit', 'legacyDistInvtVerify', 'legacyDistInvtComplete', 'simpDistColdView', 'simpDistColdIntent', 'simpDistColdFindAff', 'simpDistColdNextBttn', 'simpDistColdFormStart', 'simpDistColdComplete', 'simpDistInvtLanding', 'simpDistInvtAccept', 'simpDistInvtView', 'simpDistInvtIntent', 'simpDistInvtSubmit', 'simpDistInvtComplete', 'simpDistInvtError']","{'progDistColdComplete', 'progMembInvtIntent', 'legacyMembInvtView', 'progDistColdIntent', 'progMembColdComplete', 'simpCustColdContactMe', 'simpMembInvtIntent', 'progMembColdIntent', 'simpCustColdView', 'legacyCustColdComplete', 'simpMembInvtView', 'progMembColdView', 'legacyCustInvtComplete', 'progDistInvtComplete', 'simpCustInvtComplete', 'legacyCustInvtSubmit', 'progCustColdComplete', 'legacyMembInvtSubmit', 'progDistInvtView', 'simpCustColdFormStart', 'simpCustInvtAccept', 'simpMembColdIntent', 'poCustColdComplete', 'simpMembColdView', 'legacyCustColdView', 'progMembInvtComplete', 'legacyMembColdIntent', 'legacyMembInvtVerify', 'progCustInvtComplete', 'legacyMembColdComplete', 'legacyMembColdVerify', 'progCustColdIntent', 'legacyCustColdVerify', 'simpMembColdFormStart', 'legacyCustInvtVerify', 'simpMembColdNextBttn', 'simpCustInvtView', 'simpCustColdComplete', 'simpMembInvtLanding', 'simpCustInvtLanding', 'simpMembColdFindAff', 'simpMembInvtSubmit', 'simpCustInvtIntent', 'simpCustColdIntent', 'simpCustInvtSubmit', 'legacyCustInvtView', 'simpCustColdFindAff', 'simpMembInvtComplete', 'progMembInvtView', 'legacyMembInvtComplete', 'simpMembColdComplete', 'simpCustInvtError', 'simpMembInvtError', 'poCustColdIntent', 'legacyMembColdView', 'progDistColdView', 'progCustColdView', 'poCustColdView', 'simpCustColdNextBttn', 'simpMembInvtAccept', 'legacyCustColdSubmit', 'legacyMembInvtIntent', 'legacyMembColdSubmit', 'progCustInvtView'}"
5,CA,"['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdSubmit', 'legacyDistColdVerify', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdSubmit', 'legacyCustColdVerify', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyMembColdIntent', 'legacyMembColdSubmit', 'legacyMembColdVerify', 'legacyMembColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtSubmit', 'legacyDistInvtVerify', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtSubmit', 'legacyCustInvtVerify', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtSubmit', 'legacyMembInvtVerify', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdIntent', 'poCustColdComplete', 'simpDistColdView', 'simpDistColdIntent', 'simpDistColdFindAff', 'simpDistColdNextBttn']","{'simpDistColdFormStart', 'progDistColdComplete', 'progMembInvtIntent', 'progDistColdIntent', 'progMembColdComplete', 'simpCustColdContactMe', 'simpDistInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtSubmit', 'simpDistInvtError', 'simpCustColdView', 'simpMembInvtView', 'progMembColdView', 'progDistInvtComplete', 'simpCustInvtComplete', 'progCustColdComplete', 'progDistInvtView', 'simpCustColdFormStart', 'simpCustInvtAccept', 'simpMembColdIntent', 'simpMembColdView', 'progMembInvtComplete', 'simpDistInvtIntent', 'progCustInvtComplete', 'progCustColdIntent', 'simpMembColdFormStart', 'simpDistInvtLanding', 'simpMembColdNextBttn', 'simpDistInvtView', 'simpCustInvtView', 'simpCustColdComplete', 'simpMembInvtLanding', 'simpCustInvtLanding', 'simpMembColdFindAff', 'simpMembInvtSubmit', 'simpCustInvtIntent', 'simpCustColdIntent', 'simpCustInvtSubmit', 'simpDistColdComplete', 'simpCustColdFindAff', 'simpMembInvtComplete', 'progMembInvtView', 'simpMembColdComplete', 'simpCustInvtError', 'simpDistInvtAccept', 'simpMembInvtError', 'progDistColdView', 'progCustColdView', 'simpCustColdNextBttn', 'simpMembInvtAccept', 'progCustInvtView'}"
6,CH,"['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdSubmit', 'legacyDistColdVerify', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdSubmit', 'legacyCustColdVerify', 'legacyCustColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtSubmit', 'legacyDistInvtVerify', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtSubmit', 'legacyCustInvtVerify', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtSubmit', 'legacyMembInvtVerify', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete']","{'simpDistColdFormStart', 'progDistColdComplete', 'progMembInvtIntent', 'progDistColdIntent', 'progMembColdComplete', 'simpDistColdFindAff', 'simpCustColdContactMe', 'simpDistInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtSubmit', 'simpDistInvtError', 'simpCustColdView', 'simpMembInvtView', 'progMembColdView', 'progDistInvtComplete', 'simpCustInvtComplete', 'progCustColdComplete', 'progDistInvtView', 'simpCustColdFormStart', 'simpDistColdView', 'simpCustInvtAccept', 'simpMembColdIntent', 'simpMembColdView', 'simpDistColdIntent', 'progMembInvtComplete', 'simpDistInvtIntent', 'legacyMembColdIntent', 'progCustInvtComplete', 'legacyMembColdComplete', 'legacyMembColdVerify', 'progCustColdIntent', 'simpMembColdFormStart', 'simpDistInvtLanding', 'simpMembColdNextBttn', 'simpDistInvtView', 'simpCustInvtView', 'simpCustColdComplete', 'simpMembInvtLanding', 'simpCustInvtLanding', 'simpMembColdFindAff', 'simpMembInvtSubmit', 'simpCustInvtIntent', 'simpCustColdIntent', 'simpCustInvtSubmit', 'simpDistColdComplete', 'simpDistColdNextBttn', 'simpCustColdFindAff', 'simpMembInvtComplete', 'progMembInvtView', 'simpMembColdComplete', 'simpCustInvtError', 'simpDistInvtAccept', 'simpMembInvtError', 'poCustColdIntent', 'legacyMembColdView', 'progDistColdView', 'progCustColdView', 'simpCustColdNextBttn', 'simpMembInvtAccept', 'legacyMembColdSubmit', 'progCustInvtView'}"
7,CL,"['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdSubmit', 'legacyDistColdVerify', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdSubmit', 'legacyCustColdVerify', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyMembColdIntent', 'legacyMembColdSubmit', 'legacyMembColdVerify', 'legacyMembColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtSubmit', 'legacyDistInvtVerify', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtSubmit', 'legacyCustInvtVerify', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtSubmit', 'legacyMembInvtVerify', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete']","{'simpDistColdFormStart', 'progDistColdComplete', 'progMembInvtIntent', 'progDistColdIntent', 'progMembColdComplete', 'simpDistColdFindAff', 'simpCustColdContactMe', 'simpDistInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtSubmit', 'simpDistInvtError', 'simpCustColdView', 'simpMembInvtView', 'progMembColdView', 'progDistInvtComplete', 'simpCustInvtComplete', 'progCustColdComplete', 'progDistInvtView', 'simpCustColdFormStart', 'simpDistColdView', 'simpCustInvtAccept', 'simpMembColdIntent', 'simpMembColdView', 'simpDistColdIntent', 'progMembInvtComplete', 'simpDistInvtIntent', 'progCustInvtComplete', 'progCustColdIntent', 'simpMembColdFormStart', 'simpDistInvtLanding', 'simpMembColdNextBttn', 'simpDistInvtView', 'simpCustInvtView', 'simpCustColdComplete', 'simpMembInvtLanding', 'simpCustInvtLanding', 'simpMembColdFindAff', 'simpMembInvtSubmit', 'simpCustInvtIntent', 'simpCustColdIntent', 'simpCustInvtSubmit', 'simpDistColdComplete', 'simpDistColdNextBttn', 'simpCustColdFindAff', 'simpMembInvtComplete', 'progMembInvtView', 'simpMembColdComplete', 'simpCustInvtError', 'simpDistInvtAccept', 'simpMembInvtError', 'poCustColdIntent', 'progDistColdView', 'progCustColdView', 'simpCustColdNextBttn', 'simpMembInvtAccept', 'progCustInvtView'}"
8,CO,"['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdSubmit', 'legacyDistColdVerify', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdSubmit', 'legacyCustColdVerify', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyMembColdIntent', 'legacyMembColdSubmit', 'legacyMembColdVerify', 'legacyMembColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtSubmit', 'legacyDistInvtVerify', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtSubmit', 'legacyCustInvtVerify', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtSubmit', 'legacyMembInvtVerify', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete']","{'simpDistColdFormStart', 'progDistColdComplete', 'progMembInvtIntent', 'progDistColdIntent', 'progMembColdComplete', 'simpDistColdFindAff', 'simpCustColdContactMe', 'simpDistInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtSubmit', 'simpDistInvtError', 'simpCustColdView', 'simpMembInvtView', 'progMembColdView', 'progDistInvtComplete', 'simpCustInvtComplete', 'progCustColdComplete', 'progDistInvtView', 'simpCustColdFormStart', 'simpDistColdView', 'simpCustInvtAccept', 'simpMembColdIntent', 'simpMembColdView', 'simpDistColdIntent', 'progMembInvtComplete', 'simpDistInvtIntent', 'progCustInvtComplete', 'progCustColdIntent', 'simpMembColdFormStart', 'simpDistInvtLanding', 'simpMembColdNextBttn', 'simpDistInvtView', 'simpCustInvtView', 'simpCustColdComplete', 'simpMembInvtLanding', 'simpCustInvtLanding', 'simpMembColdFindAff', 'simpMembInvtSubmit', 'simpCustInvtIntent', 'simpCustColdIntent', 'simpCustInvtSubmit', 'simpDistColdComplete', 'simpDistColdNextBttn', 'simpCustColdFindAff', 'simpMembInvtComplete', 'progMembInvtView', 'simpMembColdComplete', 'simpCustInvtError', 'simpDistInvtAccept', 'simpMembInvtError', 'poCustColdIntent', 'progDistColdView', 'progCustColdView', 'simpCustColdNextBttn', 'simpMembInvtAccept', 'progCustInvtView'}"
9,CZ,"['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdSubmit', 'legacyDistColdVerify', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdSubmit', 'legacyCustColdVerify', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyMembColdIntent', 'legacyMembColdSubmit', 'legacyMembColdVerify', 'legacyMembColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtSubmit', 'legacyDistInvtVerify', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtSubmit', 'legacyCustInvtVerify', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtSubmit', 'legacyMembInvtVerify', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete', 'Customer']","{'simpDistColdFormStart', 'progDistColdComplete', 'progMembInvtIntent', 'progDistColdIntent', 'progMembColdComplete', 'simpDistColdFindAff', 'simpCustColdContactMe', 'simpDistInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtSubmit', 'simpDistInvtError', 'simpCustColdView', 'simpMembInvtView', 'progMembColdView', 'progDistInvtComplete', 'simpCustInvtComplete', 'progCustColdComplete', 'progDistInvtView', 'simpCustColdFormStart', 'simpDistColdView', 'simpCustInvtAccept', 'simpMembColdIntent', 'simpMembColdView', 'simpDistColdIntent', 'progMembInvtComplete', 'simpDistInvtIntent', 'progCustInvtComplete', 'progCustColdIntent', 'simpMembColdFormStart', 'simpDistInvtLanding', 'simpMembColdNextBttn', 'simpDistInvtView', 'simpCustInvtView', 'simpCustColdComplete', 'simpMembInvtLanding', 'simpCustInvtLanding', 'simpMembColdFindAff', 'simpMembInvtSubmit', 'simpCustInvtIntent', 'simpCustColdIntent', 'simpCustInvtSubmit', 'simpDistColdComplete', 'simpDistColdNextBttn', 'simpCustColdFindAff', 'simpMembInvtComplete', 'progMembInvtView', 'simpMembColdComplete', 'simpCustInvtError', 'simpDistInvtAccept', 'simpMembInvtError', 'poCustColdIntent', 'progDistColdView', 'progCustColdView', 'simpCustColdNextBttn', 'simpMembInvtAccept', 'progCustInvtView'}"
10,DE,"['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdSubmit', 'legacyDistColdVerify', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdSubmit', 'legacyCustColdVerify', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyMembColdIntent', 'legacyMembColdSubmit', 'legacyMembColdVerify', 'legacyMembColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtSubmit', 'legacyDistInvtVerify', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtSubmit', 'legacyCustInvtVerify', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtSubmit', 'legacyMembInvtVerify', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete']","{'simpDistColdFormStart', 'progDistColdComplete', 'progMembInvtIntent', 'progDistColdIntent', 'progMembColdComplete', 'simpDistColdFindAff', 'simpCustColdContactMe', 'simpDistInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtSubmit', 'simpDistInvtError', 'simpCustColdView', 'simpMembInvtView', 'progMembColdView', 'progDistInvtComplete', 'simpCustInvtComplete', 'progCustColdComplete', 'progDistInvtView', 'simpCustColdFormStart', 'simpDistColdView', 'simpCustInvtAccept', 'simpMembColdIntent', 'simpMembColdView', 'simpDistColdIntent', 'progMembInvtComplete', 'simpDistInvtIntent', 'progCustInvtComplete', 'progCustColdIntent', 'simpMembColdFormStart', 'simpDistInvtLanding', 'simpMembColdNextBttn', 'simpDistInvtView', 'simpCustInvtView', 'simpCustColdComplete', 'simpMembInvtLanding', 'simpCustInvtLanding', 'simpMembColdFindAff', 'simpMembInvtSubmit', 'simpCustInvtIntent', 'simpCustColdIntent', 'simpCustInvtSubmit', 'simpDistColdComplete', 'simpDistColdNextBttn', 'simpCustColdFindAff', 'simpMembInvtComplete', 'progMembInvtView', 'simpMembColdComplete', 'simpCustInvtError', 'simpDistInvtAccept', 'simpMembInvtError', 'poCustColdIntent', 'progDistColdView', 'progCustColdView', 'simpCustColdNextBttn', 'simpMembInvtAccept', 'progCustInvtView'}"
