,Country,Event Action,Missing
11,DK,"['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdSubmit', 'legacyDistColdVerify', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdSubmit', 'legacyCustColdVerify', 'legacyCustColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtSubmit', 'legacyDistInvtVerify', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtSubmit', 'legacyCustInvtVerify', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtSubmit', 'legacyMembInvtVerify', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete']","{'simpDistColdFormStart', 'progDistColdComplete', 'progMembInvtIntent', 'progDistColdIntent', 'progMembColdComplete', 'simpDistColdFindAff', 'simpCustColdContactMe', 'simpDistInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtSubmit', 'simpDistInvtError', 'simpCustColdView', 'simpMembInvtView', 'progMembColdView', 'progDistInvtComplete', 'simpCustInvtComplete', 'progCustColdComplete', 'progDistInvtView', 'simpCustColdFormStart', 'simpDistColdView', 'simpCustInvtAccept', 'simpMembColdIntent', 'simpMembColdView', 'simpDistColdIntent', 'progMembInvtComplete', 'simpDistInvtIntent', 'legacyMembColdIntent', 'progCustInvtComplete', 'legacyMembColdComplete', 'legacyMembColdVerify', 'progCustColdIntent', 'simpMembColdFormStart', 'simpDistInvtLanding', 'simpMembColdNextBttn', 'simpDistInvtView', 'simpCustInvtView', 'simpCustColdComplete', 'simpMembInvtLanding', 'simpCustInvtLanding', 'simpMembColdFindAff', 'simpMembInvtSubmit', 'simpCustInvtIntent', 'simpCustColdIntent', 'simpCustInvtSubmit', 'simpDistColdComplete', 'simpDistColdNextBttn', 'simpCustColdFindAff', 'simpMembInvtComplete', 'progMembInvtView', 'simpMembColdComplete', 'simpCustInvtError', 'simpDistInvtAccept', 'simpMembInvtError', 'poCustColdIntent', 'legacyMembColdView', 'progDistColdView', 'progCustColdView', 'simpCustColdNextBttn', 'simpMembInvtAccept', 'legacyMembColdSubmit', 'progCustInvtView'}"
12,ES,"['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdSubmit', 'legacyDistColdVerify', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdSubmit', 'legacyCustColdVerify', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyMembColdIntent', 'legacyMembColdSubmit', 'legacyMembColdVerify', 'legacyMembColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtSubmit', 'legacyDistInvtVerify', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtSubmit', 'legacyCustInvtVerify', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtSubmit', 'legacyMembInvtVerify', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete']","{'simpDistColdFormStart', 'progDistColdComplete', 'progMembInvtIntent', 'progDistColdIntent', 'progMembColdComplete', 'simpDistColdFindAff', 'simpCustColdContactMe', 'simpDistInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtSubmit', 'simpDistInvtError', 'simpCustColdView', 'simpMembInvtView', 'progMembColdView', 'progDistInvtComplete', 'simpCustInvtComplete', 'progCustColdComplete', 'progDistInvtView', 'simpCustColdFormStart', 'simpDistColdView', 'simpCustInvtAccept', 'simpMembColdIntent', 'simpMembColdView', 'simpDistColdIntent', 'progMembInvtComplete', 'simpDistInvtIntent', 'progCustInvtComplete', 'progCustColdIntent', 'simpMembColdFormStart', 'simpDistInvtLanding', 'simpMembColdNextBttn', 'simpDistInvtView', 'simpCustInvtView', 'simpCustColdComplete', 'simpMembInvtLanding', 'simpCustInvtLanding', 'simpMembColdFindAff', 'simpMembInvtSubmit', 'simpCustInvtIntent', 'simpCustColdIntent', 'simpCustInvtSubmit', 'simpDistColdComplete', 'simpDistColdNextBttn', 'simpCustColdFindAff', 'simpMembInvtComplete', 'progMembInvtView', 'simpMembColdComplete', 'simpCustInvtError', 'simpDistInvtAccept', 'simpMembInvtError', 'poCustColdIntent', 'progDistColdView', 'progCustColdView', 'simpCustColdNextBttn', 'simpMembInvtAccept', 'progCustInvtView'}"
13,FI,"['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdSubmit', 'legacyDistColdVerify', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdSubmit', 'legacyCustColdVerify', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyMembColdIntent', 'legacyMembColdSubmit', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtSubmit', 'legacyDistInvtVerify', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtSubmit', 'legacyCustInvtVerify', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtSubmit', 'legacyMembInvtVerify', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete']","{'simpDistColdFormStart', 'progDistColdComplete', 'progMembInvtIntent', 'progDistColdIntent', 'progMembColdComplete', 'simpDistColdFindAff', 'simpCustColdContactMe', 'simpDistInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtSubmit', 'simpDistInvtError', 'simpCustColdView', 'simpMembInvtView', 'progMembColdView', 'progDistInvtComplete', 'simpCustInvtComplete', 'progCustColdComplete', 'progDistInvtView', 'simpCustColdFormStart', 'simpDistColdView', 'simpCustInvtAccept', 'simpMembColdIntent', 'simpMembColdView', 'simpDistColdIntent', 'progMembInvtComplete', 'simpDistInvtIntent', 'progCustInvtComplete', 'legacyMembColdComplete', 'legacyMembColdVerify', 'progCustColdIntent', 'simpMembColdFormStart', 'simpDistInvtLanding', 'simpMembColdNextBttn', 'simpDistInvtView', 'simpCustInvtView', 'simpCustColdComplete', 'simpMembInvtLanding', 'simpCustInvtLanding', 'simpMembColdFindAff', 'simpMembInvtSubmit', 'simpCustInvtIntent', 'simpCustColdIntent', 'simpCustInvtSubmit', 'simpDistColdComplete', 'simpDistColdNextBttn', 'simpCustColdFindAff', 'simpMembInvtComplete', 'progMembInvtView', 'simpMembColdComplete', 'simpCustInvtError', 'simpDistInvtAccept', 'simpMembInvtError', 'poCustColdIntent', 'progDistColdView', 'progCustColdView', 'simpCustColdNextBttn', 'simpMembInvtAccept', 'progCustInvtView'}"
14,FR,"['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdSubmit', 'legacyDistColdVerify', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdSubmit', 'legacyCustColdVerify', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyMembColdIntent', 'legacyMembColdVerify', 'legacyMembColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtSubmit', 'legacyDistInvtVerify', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtSubmit', 'legacyCustInvtVerify', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtSubmit', 'legacyMembInvtVerify', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete', 'Customer']","{'simpDistColdFormStart', 'progDistColdComplete', 'progMembInvtIntent', 'progDistColdIntent', 'progMembColdComplete', 'simpDistColdFindAff', 'simpCustColdContactMe', 'simpDistInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtSubmit', 'simpDistInvtError', 'simpCustColdView', 'simpMembInvtView', 'progMembColdView', 'progDistInvtComplete', 'simpCustInvtComplete', 'progCustColdComplete', 'progDistInvtView', 'simpCustColdFormStart', 'simpDistColdView', 'simpCustInvtAccept', 'simpMembColdIntent', 'simpMembColdView', 'simpDistColdIntent', 'progMembInvtComplete', 'simpDistInvtIntent', 'progCustInvtComplete', 'progCustColdIntent', 'simpMembColdFormStart', 'simpDistInvtLanding', 'simpMembColdNextBttn', 'simpDistInvtView', 'simpCustInvtView', 'simpCustColdComplete', 'simpMembInvtLanding', 'simpCustInvtLanding', 'simpMembColdFindAff', 'simpMembInvtSubmit', 'simpCustInvtIntent', 'simpCustColdIntent', 'simpCustInvtSubmit', 'simpDistColdComplete', 'simpDistColdNextBttn', 'simpCustColdFindAff', 'simpMembInvtComplete', 'progMembInvtView', 'simpMembColdComplete', 'simpCustInvtError', 'simpDistInvtAccept', 'simpMembInvtError', 'poCustColdIntent', 'progDistColdView', 'progCustColdView', 'simpCustColdNextBttn', 'simpMembInvtAccept', 'legacyMembColdSubmit', 'progCustInvtView'}"
15,GB,"['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdSubmit', 'legacyDistColdVerify', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdSubmit', 'legacyCustColdVerify', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyMembColdIntent', 'legacyMembColdSubmit', 'legacyMembColdVerify', 'legacyMembColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtSubmit', 'legacyDistInvtVerify', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtSubmit', 'legacyCustInvtVerify', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtSubmit', 'legacyMembInvtVerify', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete', 'simpCustColdView', 'simpCustColdIntent']","{'simpDistColdFormStart', 'progDistColdComplete', 'progMembInvtIntent', 'progDistColdIntent', 'progMembColdComplete', 'simpDistColdFindAff', 'simpCustColdContactMe', 'simpDistInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtSubmit', 'simpDistInvtError', 'simpMembInvtView', 'progMembColdView', 'progDistInvtComplete', 'simpCustInvtComplete', 'progCustColdComplete', 'progDistInvtView', 'simpCustColdFormStart', 'simpDistColdView', 'simpCustInvtAccept', 'simpMembColdIntent', 'simpMembColdView', 'simpDistColdIntent', 'progMembInvtComplete', 'simpDistInvtIntent', 'progCustInvtComplete', 'progCustColdIntent', 'simpMembColdFormStart', 'simpDistInvtLanding', 'simpMembColdNextBttn', 'simpDistInvtView', 'simpCustInvtView', 'simpCustColdComplete', 'simpMembInvtLanding', 'simpCustInvtLanding', 'simpMembColdFindAff', 'simpMembInvtSubmit', 'simpCustInvtIntent', 'simpCustInvtSubmit', 'simpDistColdComplete', 'simpDistColdNextBttn', 'simpCustColdFindAff', 'simpMembInvtComplete', 'progMembInvtView', 'simpMembColdComplete', 'simpCustInvtError', 'simpDistInvtAccept', 'simpMembInvtError', 'poCustColdIntent', 'progDistColdView', 'progCustColdView', 'simpCustColdNextBttn', 'simpMembInvtAccept', 'progCustInvtView'}"
16,HK,"['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdSubmit', 'legacyDistColdVerify', 'legacyDistColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtSubmit', 'legacyDistInvtVerify', 'legacyDistInvtComplete', 'poCustColdView', 'poCustColdComplete', 'progDistColdView', 'progDistColdIntent', 'progDistColdComplete', 'progCustColdView', 'progMembInvtView', 'progMembInvtIntent', 'progMembInvtComplete']","{'simpDistColdFormStart', 'legacyMembInvtView', 'progMembColdComplete', 'simpDistColdFindAff', 'simpCustColdContactMe', 'simpDistInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtSubmit', 'simpDistInvtError', 'simpCustColdView', 'legacyCustColdComplete', 'simpMembInvtView', 'progMembColdView', 'legacyCustInvtComplete', 'progDistInvtComplete', 'simpCustInvtComplete', 'legacyCustInvtSubmit', 'progCustColdComplete', 'legacyMembInvtSubmit', 'progDistInvtView', 'simpCustColdFormStart', 'simpDistColdView', 'simpCustInvtAccept', 'simpMembColdIntent', 'simpMembColdView', 'simpDistColdIntent', 'legacyCustColdView', 'simpDistInvtIntent', 'legacyMembColdIntent', 'legacyMembInvtVerify', 'progCustInvtComplete', 'legacyMembColdComplete', 'legacyMembColdVerify', 'progCustColdIntent', 'legacyCustColdVerify', 'simpMembColdFormStart', 'simpDistInvtLanding', 'legacyCustInvtVerify', 'simpMembColdNextBttn', 'simpDistInvtView', 'simpCustInvtView', 'simpCustColdComplete', 'simpMembInvtLanding', 'simpCustInvtLanding', 'simpMembColdFindAff', 'simpMembInvtSubmit', 'simpCustInvtIntent', 'simpCustColdIntent', 'simpCustInvtSubmit', 'simpDistColdComplete', 'legacyCustInvtView', 'simpDistColdNextBttn', 'simpCustColdFindAff', 'simpMembInvtComplete', 'legacyMembInvtComplete', 'simpMembColdComplete', 'simpCustInvtError', 'simpDistInvtAccept', 'simpMembInvtError', 'poCustColdIntent', 'legacyMembColdView', 'simpCustColdNextBttn', 'simpMembInvtAccept', 'legacyCustColdSubmit', 'legacyMembInvtIntent', 'legacyMembColdSubmit', 'progCustInvtView'}"
17,HU,"['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdSubmit', 'legacyDistColdVerify', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdSubmit', 'legacyCustColdVerify', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyMembColdIntent', 'legacyMembColdSubmit', 'legacyMembColdVerify', 'legacyMembColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtSubmit', 'legacyDistInvtVerify', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtSubmit', 'legacyCustInvtVerify', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtSubmit', 'legacyMembInvtVerify', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete']","{'simpDistColdFormStart', 'progDistColdComplete', 'progMembInvtIntent', 'progDistColdIntent', 'progMembColdComplete', 'simpDistColdFindAff', 'simpCustColdContactMe', 'simpDistInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtSubmit', 'simpDistInvtError', 'simpCustColdView', 'simpMembInvtView', 'progMembColdView', 'progDistInvtComplete', 'simpCustInvtComplete', 'progCustColdComplete', 'progDistInvtView', 'simpCustColdFormStart', 'simpDistColdView', 'simpCustInvtAccept', 'simpMembColdIntent', 'simpMembColdView', 'simpDistColdIntent', 'progMembInvtComplete', 'simpDistInvtIntent', 'progCustInvtComplete', 'progCustColdIntent', 'simpMembColdFormStart', 'simpDistInvtLanding', 'simpMembColdNextBttn', 'simpDistInvtView', 'simpCustInvtView', 'simpCustColdComplete', 'simpMembInvtLanding', 'simpCustInvtLanding', 'simpMembColdFindAff', 'simpMembInvtSubmit', 'simpCustInvtIntent', 'simpCustColdIntent', 'simpCustInvtSubmit', 'simpDistColdComplete', 'simpDistColdNextBttn', 'simpCustColdFindAff', 'simpMembInvtComplete', 'progMembInvtView', 'simpMembColdComplete', 'simpCustInvtError', 'simpDistInvtAccept', 'simpMembInvtError', 'poCustColdIntent', 'progDistColdView', 'progCustColdView', 'simpCustColdNextBttn', 'simpMembInvtAccept', 'progCustInvtView'}"
18,ID,"['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdSubmit', 'legacyDistColdVerify', 'legacyDistColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtSubmit', 'legacyDistInvtVerify', 'legacyDistInvtComplete', 'simpDistColdView', 'simpDistColdIntent', 'simpDistColdFindAff', 'simpDistColdNextBttn', 'simpDistColdFormStart', 'simpDistColdComplete', 'simpDistInvtLanding', 'simpDistInvtAccept', 'simpDistInvtView', 'simpDistInvtIntent', 'simpDistInvtSubmit', 'simpDistInvtError', 'progDistColdComplete']","{'progMembInvtIntent', 'legacyMembInvtView', 'progDistColdIntent', 'progMembColdComplete', 'simpCustColdContactMe', 'simpDistInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpCustColdView', 'legacyCustColdComplete', 'simpMembInvtView', 'progMembColdView', 'legacyCustInvtComplete', 'progDistInvtComplete', 'simpCustInvtComplete', 'legacyCustInvtSubmit', 'progCustColdComplete', 'legacyMembInvtSubmit', 'progDistInvtView', 'simpCustColdFormStart', 'simpCustInvtAccept', 'simpMembColdIntent', 'poCustColdComplete', 'simpMembColdView', 'legacyCustColdView', 'progMembInvtComplete', 'legacyMembColdIntent', 'legacyMembInvtVerify', 'progCustInvtComplete', 'legacyMembColdComplete', 'legacyMembColdVerify', 'progCustColdIntent', 'legacyCustColdVerify', 'simpMembColdFormStart', 'legacyCustInvtVerify', 'simpMembColdNextBttn', 'simpCustInvtView', 'simpCustColdComplete', 'simpMembInvtLanding', 'simpCustInvtLanding', 'simpMembColdFindAff', 'simpMembInvtSubmit', 'simpCustInvtIntent', 'simpCustColdIntent', 'simpCustInvtSubmit', 'legacyCustInvtView', 'simpCustColdFindAff', 'simpMembInvtComplete', 'progMembInvtView', 'legacyMembInvtComplete', 'simpMembColdComplete', 'simpCustInvtError', 'simpMembInvtError', 'poCustColdIntent', 'legacyMembColdView', 'progDistColdView', 'progCustColdView', 'poCustColdView', 'simpCustColdNextBttn', 'simpMembInvtAccept', 'legacyCustColdSubmit', 'legacyMembInvtIntent', 'legacyMembColdSubmit', 'progCustInvtView'}"
19,IE,"['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdSubmit', 'legacyDistColdVerify', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdSubmit', 'legacyCustColdVerify', 'legacyCustColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtSubmit', 'legacyDistInvtVerify', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtSubmit', 'legacyCustInvtVerify', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtSubmit', 'legacyMembInvtVerify', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete']","{'simpDistColdFormStart', 'progDistColdComplete', 'progMembInvtIntent', 'progDistColdIntent', 'progMembColdComplete', 'simpDistColdFindAff', 'simpCustColdContactMe', 'simpDistInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtSubmit', 'simpDistInvtError', 'simpCustColdView', 'simpMembInvtView', 'progMembColdView', 'progDistInvtComplete', 'simpCustInvtComplete', 'progCustColdComplete', 'progDistInvtView', 'simpCustColdFormStart', 'simpDistColdView', 'simpCustInvtAccept', 'simpMembColdIntent', 'simpMembColdView', 'simpDistColdIntent', 'progMembInvtComplete', 'simpDistInvtIntent', 'legacyMembColdIntent', 'progCustInvtComplete', 'legacyMembColdComplete', 'legacyMembColdVerify', 'progCustColdIntent', 'simpMembColdFormStart', 'simpDistInvtLanding', 'simpMembColdNextBttn', 'simpDistInvtView', 'simpCustInvtView', 'simpCustColdComplete', 'simpMembInvtLanding', 'simpCustInvtLanding', 'simpMembColdFindAff', 'simpMembInvtSubmit', 'simpCustInvtIntent', 'simpCustColdIntent', 'simpCustInvtSubmit', 'simpDistColdComplete', 'simpDistColdNextBttn', 'simpCustColdFindAff', 'simpMembInvtComplete', 'progMembInvtView', 'simpMembColdComplete', 'simpCustInvtError', 'simpDistInvtAccept', 'simpMembInvtError', 'poCustColdIntent', 'legacyMembColdView', 'progDistColdView', 'progCustColdView', 'simpCustColdNextBttn', 'simpMembInvtAccept', 'legacyMembColdSubmit', 'progCustInvtView'}"
20,IL,"['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdSubmit', 'legacyDistColdVerify', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdSubmit', 'legacyCustColdVerify', 'legacyCustColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtSubmit', 'legacyDistInvtVerify', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtSubmit', 'legacyCustInvtVerify', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtSubmit', 'legacyMembInvtVerify', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete']","{'simpDistColdFormStart', 'progDistColdComplete', 'progMembInvtIntent', 'progDistColdIntent', 'progMembColdComplete', 'simpDistColdFindAff', 'simpCustColdContactMe', 'simpDistInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtSubmit', 'simpDistInvtError', 'simpCustColdView', 'simpMembInvtView', 'progMembColdView', 'progDistInvtComplete', 'simpCustInvtComplete', 'progCustColdComplete', 'progDistInvtView', 'simpCustColdFormStart', 'simpDistColdView', 'simpCustInvtAccept', 'simpMembColdIntent', 'simpMembColdView', 'simpDistColdIntent', 'progMembInvtComplete', 'simpDistInvtIntent', 'legacyMembColdIntent', 'progCustInvtComplete', 'legacyMembColdComplete', 'legacyMembColdVerify', 'progCustColdIntent', 'simpMembColdFormStart', 'simpDistInvtLanding', 'simpMembColdNextBttn', 'simpDistInvtView', 'simpCustInvtView', 'simpCustColdComplete', 'simpMembInvtLanding', 'simpCustInvtLanding', 'simpMembColdFindAff', 'simpMembInvtSubmit', 'simpCustInvtIntent', 'simpCustColdIntent', 'simpCustInvtSubmit', 'simpDistColdComplete', 'simpDistColdNextBttn', 'simpCustColdFindAff', 'simpMembInvtComplete', 'progMembInvtView', 'simpMembColdComplete', 'simpCustInvtError', 'simpDistInvtAccept', 'simpMembInvtError', 'poCustColdIntent', 'legacyMembColdView', 'progDistColdView', 'progCustColdView', 'simpCustColdNextBttn', 'simpMembInvtAccept', 'legacyMembColdSubmit', 'progCustInvtView'}"
21,IS,"['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdSubmit', 'legacyDistColdVerify', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdSubmit', 'legacyCustColdVerify', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyMembColdIntent', 'legacyMembColdSubmit', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtSubmit', 'legacyDistInvtVerify', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtSubmit', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtSubmit', 'legacyMembInvtVerify', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete']","{'simpDistColdFormStart', 'progDistColdComplete', 'progMembInvtIntent', 'progDistColdIntent', 'progMembColdComplete', 'simpDistColdFindAff', 'simpCustColdContactMe', 'simpDistInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtSubmit', 'simpDistInvtError', 'simpCustColdView', 'simpMembInvtView', 'progMembColdView', 'progDistInvtComplete', 'simpCustInvtComplete', 'progCustColdComplete', 'progDistInvtView', 'simpCustColdFormStart', 'simpDistColdView', 'simpCustInvtAccept', 'simpMembColdIntent', 'simpMembColdView', 'simpDistColdIntent', 'progMembInvtComplete', 'simpDistInvtIntent', 'progCustInvtComplete', 'legacyMembColdComplete', 'legacyMembColdVerify', 'progCustColdIntent', 'simpMembColdFormStart', 'simpDistInvtLanding', 'legacyCustInvtVerify', 'simpMembColdNextBttn', 'simpDistInvtView', 'simpCustInvtView', 'simpCustColdComplete', 'simpMembInvtLanding', 'simpCustInvtLanding', 'simpMembColdFindAff', 'simpMembInvtSubmit', 'simpCustInvtIntent', 'simpCustColdIntent', 'simpCustInvtSubmit', 'simpDistColdComplete', 'simpDistColdNextBttn', 'simpCustColdFindAff', 'simpMembInvtComplete', 'progMembInvtView', 'simpMembColdComplete', 'simpCustInvtError', 'simpDistInvtAccept', 'simpMembInvtError', 'poCustColdIntent', 'progDistColdView', 'progCustColdView', 'simpCustColdNextBttn', 'simpMembInvtAccept', 'progCustInvtView'}"
